mKate,EBFP2,gRNA,uORF,EYFP,cellCount
53088.4444,133352.1432,1,2,659856.886,328
53088.4444,1333521.432,1,2,4280424.966,202
53088.4444,23713.7371,1,2,197071.5547,395
53088.4444,237137.3706,1,2,898066.5329,289
53088.4444,2371373.706,1,2,6196081.88,193
53088.4444,4216.965,1,2,85727.5835,25
53088.4444,42169.6503,1,2,209762.136,512
53088.4444,421696.5034,1,2,1525882.832,350
53088.4444,4216965.034,1,2,2603926.048,95
53088.4444,7498.9421,1,2,143915.6035,76
53088.4444,74989.4209,1,2,319546.1396,425
53088.4444,749894.2093,1,2,3352447.581,300
595662.1435,133352.1432,1,2,2486046.119,35
595662.1435,237137.3706,1,2,1859622.16,30
595662.1435,421696.5034,1,2,5017198.153,20
595662.1435,74989.4209,1,2,3030993.298,30
6683.4392,1333.5214,1,2,161331.2601,49
6683.4392,13335.2143,1,2,219836.0214,382
6683.4392,133352.1432,1,2,795575.0958,104
6683.4392,2371.3737,1,2,150989.826,114
6683.4392,23713.7371,1,2,260618.2096,273
6683.4392,237137.3706,1,2,893951.5993,56
6683.4392,4216.965,1,2,145816.7209,210
6683.4392,42169.6503,1,2,355742.7707,168
6683.4392,421696.5034,1,2,660650.297,47
6683.4392,7498.9421,1,2,186180.3189,326
6683.4392,74989.4209,1,2,444580.9024,101
6683.4392,749894.2093,1,2,497427.2652,31
74989.4209,13335.2143,1,2,171185.8245,149
74989.4209,133352.1432,1,2,623710.0982,388
74989.4209,1333521.432,1,2,6728653.413,226
74989.4209,23713.7371,1,2,180936.2626,273
74989.4209,237137.3706,1,2,1198820.758,324
74989.4209,2371373.706,1,2,6206778.208,194
74989.4209,42169.6503,1,2,268608.8603,487
74989.4209,421696.5034,1,2,2068929.195,296
74989.4209,4216965.034,1,2,5379214.019,111
74989.4209,7498.9421,1,2,130073.571,34
74989.4209,74989.4209,1,2,287742.0903,440
74989.4209,749894.2093,1,2,4909976.775,289
9440.6088,1333.5214,1,2,113369.4417,38
9440.6088,13335.2143,1,2,164460.1586,393
9440.6088,133352.1432,1,2,733897.1765,121
9440.6088,1333521.432,1,2,720942.0746,21
9440.6088,2371.3737,1,2,115107.7451,88
9440.6088,23713.7371,1,2,213803.8385,293
9440.6088,237137.3706,1,2,711383.9666,90
9440.6088,4216.965,1,2,136405.9081,175
9440.6088,42169.6503,1,2,368363.2793,182
9440.6088,421696.5034,1,2,760491.2172,84
9440.6088,749.8942,1,2,146011.7671,33
9440.6088,7498.9421,1,2,147436.1562,315
9440.6088,74989.4209,1,2,566353.0341,144
9440.6088,749894.2093,1,2,813776.8673,51
105925.3725,13335.2143,12,1,3678947.701,53
105925.3725,133352.1432,12,1,30537453.06,195
105925.3725,1333521.432,12,1,75477683.79,76
105925.3725,23713.7371,12,1,6499405.154,104
105925.3725,237137.3706,12,1,63252500.8,161
105925.3725,2371373.706,12,1,110820427.8,66
105925.3725,42169.6503,12,1,7842179.632,203
105925.3725,421696.5034,12,1,79005456,102
105925.3725,4216965.034,12,1,97719896.57,26
105925.3725,74989.4209,12,1,13325553.89,272
105925.3725,749894.2093,12,1,88856340.96,88
1188.5022,1333.5214,12,1,167151.5496,203
1188.5022,13335.2143,12,1,555427.6896,317
1188.5022,133352.1432,12,1,4923155.515,46
1188.5022,237.1374,12,1,200205.7936,51
1188.5022,2371.3737,12,1,172893.3603,441
1188.5022,23713.7371,12,1,1481764.04,183
1188.5022,237137.3706,12,1,14447011.65,24
1188.5022,421.6965,12,1,174240.3187,47
1188.5022,4216.965,12,1,190446.9294,656
1188.5022,42169.6503,12,1,2307336.337,125
1188.5022,749.8942,12,1,160764.6311,122
1188.5022,7498.9421,12,1,234616.8399,627
1188.5022,74989.4209,12,1,3932453.788,77
13335.2143,13335.2143,12,1,841245.5843,241
13335.2143,133352.1432,12,1,12689714.62,251
13335.2143,1333521.432,12,1,26796249.36,75
13335.2143,2371.3737,12,1,381310.0091,28
13335.2143,23713.7371,12,1,1352210.178,195
13335.2143,237137.3706,12,1,18068239.91,227
13335.2143,4216.965,12,1,498488.8078,71
13335.2143,42169.6503,12,1,3756164.506,226
13335.2143,421696.5034,12,1,25022799.44,197
13335.2143,7498.9421,12,1,456073.6342,155
13335.2143,74989.4209,12,1,8124724.49,207
13335.2143,749894.2093,12,1,28181203.96,131
149623.5656,13335.2143,12,1,5586728.562,20
149623.5656,133352.1432,12,1,28574807.62,151
149623.5656,1333521.432,12,1,86388441.9,55
149623.5656,23713.7371,12,1,7966753.234,39
149623.5656,237137.3706,12,1,50994017.51,70
149623.5656,2371373.706,12,1,128458091,41
149623.5656,42169.6503,12,1,9392871.466,99
149623.5656,421696.5034,12,1,74103895.07,40
149623.5656,4216965.034,12,1,134599761,21
149623.5656,74989.4209,12,1,15505666.4,170
149623.5656,749894.2093,12,1,90034415.47,43
1678.804,1333.5214,12,1,173614.371,181
1678.804,13335.2143,12,1,563932.9294,370
1678.804,133352.1432,12,1,6288207.246,57
1678.804,237.1374,12,1,171083.6375,42
1678.804,2371.3737,12,1,189601.3837,376
1678.804,23713.7371,12,1,1357943.564,229
1678.804,237137.3706,12,1,8641995.442,28
1678.804,421.6965,12,1,184790.0205,35
1678.804,4216.965,12,1,199984.5644,643
1678.804,42169.6503,12,1,1782790.442,188
1678.804,421696.5034,12,1,27089730,22
1678.804,749.8942,12,1,134315.969,95
1678.804,7498.9421,12,1,248147.1728,727
1678.804,74989.4209,12,1,3023413.406,104
18836.4909,13335.2143,12,1,960038.463,197
18836.4909,133352.1432,12,1,15765338.79,257
18836.4909,1333521.432,12,1,47481518.82,87
18836.4909,23713.7371,12,1,1114025.88,268
18836.4909,237137.3706,12,1,24013019.8,276
18836.4909,2371373.706,12,1,32109867.45,41
18836.4909,4216.965,12,1,671500.8555,48
18836.4909,42169.6503,12,1,4539408.975,210
18836.4909,421696.5034,12,1,24400212.02,257
18836.4909,7498.9421,12,1,611818.8149,133
18836.4909,74989.4209,12,1,11242436.41,231
18836.4909,749894.2093,12,1,35011964.49,162
211348.904,133352.1432,12,1,27153234.03,87
211348.904,237137.3706,12,1,40735940.19,46
211348.904,2371373.706,12,1,148453052.7,37
211348.904,42169.6503,12,1,13392501.76,40
211348.904,4216965.034,12,1,142302882.2,20
211348.904,74989.4209,12,1,17954180.42,87
2371.3737,1333.5214,12,1,197860.6746,124
2371.3737,13335.2143,12,1,592121.2001,381
2371.3737,133352.1432,12,1,4713780.841,93
2371.3737,2371.3737,12,1,200057.2394,223
2371.3737,23713.7371,12,1,1397294.009,272
2371.3737,237137.3706,12,1,8177406.475,41
2371.3737,421.6965,12,1,113039.2531,21
2371.3737,4216.965,12,1,213408.2894,403
2371.3737,42169.6503,12,1,2289028.268,209
2371.3737,421696.5034,12,1,17575351.41,28
2371.3737,749.8942,12,1,211181.9594,45
2371.3737,7498.9421,12,1,282084.5345,541
2371.3737,74989.4209,12,1,3561417.606,120
26607.2506,13335.2143,12,1,1017116.095,259
26607.2506,133352.1432,12,1,24041579.08,270
26607.2506,1333521.432,12,1,40474979.61,127
26607.2506,23713.7371,12,1,1460835.576,330
26607.2506,237137.3706,12,1,34469469.01,308
26607.2506,2371373.706,12,1,35054876.4,68
26607.2506,4216.965,12,1,583065.9377,54
26607.2506,42169.6503,12,1,3457174.659,297
26607.2506,421696.5034,12,1,42986319.57,263
26607.2506,4216965.034,12,1,11197874.44,22
26607.2506,7498.9421,12,1,857011.1794,137
26607.2506,74989.4209,12,1,10007851.09,240
26607.2506,749894.2093,12,1,41170800.3,194
298538.2619,133352.1432,12,1,35105292.36,29
298538.2619,237137.3706,12,1,50432097.17,29
298538.2619,74989.4209,12,1,31881891.27,23
3349.6544,1333.5214,12,1,261084.9651,55
3349.6544,13335.2143,12,1,594641.392,307
3349.6544,133352.1432,12,1,4262266.463,123
3349.6544,2371.3737,12,1,331981.0972,132
3349.6544,23713.7371,12,1,1385928.769,236
3349.6544,237137.3706,12,1,6751629.892,80
3349.6544,4216.965,12,1,296507.1898,232
3349.6544,42169.6503,12,1,2486250.712,232
3349.6544,421696.5034,12,1,18495794.83,28
3349.6544,749.8942,12,1,226031.5998,30
3349.6544,7498.9421,12,1,411368.2809,356
3349.6544,74989.4209,12,1,3204365.433,169
3349.6544,749894.2093,12,1,37317246.75,24
37583.7404,13335.2143,12,1,1427536.221,204
37583.7404,133352.1432,12,1,27221735.84,290
37583.7404,1333521.432,12,1,54669338.65,127
37583.7404,23713.7371,12,1,1892066.873,324
37583.7404,237137.3706,12,1,49201484.01,321
37583.7404,2371373.706,12,1,43441624.8,80
37583.7404,4216.965,12,1,1095453.016,50
37583.7404,42169.6503,12,1,2715254.983,333
37583.7404,421696.5034,12,1,50731773.58,268
37583.7404,7498.9421,12,1,1168790.129,95
37583.7404,74989.4209,12,1,10532852.46,254
37583.7404,749894.2093,12,1,50826678.08,171
4731.5126,1333.5214,12,1,307328.4707,43
4731.5126,13335.2143,12,1,777355.9046,263
4731.5126,133352.1432,12,1,6435049.652,141
4731.5126,2371.3737,12,1,434761.9253,61
4731.5126,23713.7371,12,1,1778803.832,232
4731.5126,237137.3706,12,1,10327430.54,108
4731.5126,4216.965,12,1,411465.2683,128
4731.5126,42169.6503,12,1,2673837.895,218
4731.5126,421696.5034,12,1,11815240.27,60
4731.5126,749.8942,12,1,263273.1072,20
4731.5126,7498.9421,12,1,415376.5065,194
4731.5126,74989.4209,12,1,5027993.098,197
4731.5126,749894.2093,12,1,53769784.25,40
53088.4444,13335.2143,12,1,1880726.963,156
53088.4444,133352.1432,12,1,27788401.2,267
53088.4444,1333521.432,12,1,69333986.24,119
53088.4444,23713.7371,12,1,2515574.896,316
53088.4444,237137.3706,12,1,53531906.3,272
53088.4444,2371373.706,12,1,67280385.93,80
53088.4444,4216.965,12,1,1482189.515,29
53088.4444,42169.6503,12,1,4442667.504,359
53088.4444,421696.5034,12,1,58212685.6,274
53088.4444,4216965.034,12,1,28868067.51,30
53088.4444,7498.9421,12,1,1814309.34,50
53088.4444,74989.4209,12,1,11360063.62,320
53088.4444,749894.2093,12,1,60148639.1,164
6683.4392,1333.5214,12,1,316057.3441,27
6683.4392,13335.2143,12,1,955764.6612,224
6683.4392,133352.1432,12,1,6292970.5,179
6683.4392,2371.3737,12,1,218518.4424,45
6683.4392,23713.7371,12,1,1642095.481,220
6683.4392,237137.3706,12,1,9389466.136,163
6683.4392,4216.965,12,1,489196.7703,105
6683.4392,42169.6503,12,1,3164671.581,229
